"Name","Location","Type","Namespace","Source","Reference Count","Offcut Ref Count"
"__OvrSize","2410:8512","Data Label","Global","User Defined","1","1"
"_atexitcnt","2410:8516","Data Label","Global","User Defined","6","0"
"_ctype","2410:8518","Data Label","Global","User Defined","0","1"
"_ctype1","2410:8519","Data Label","Global","User Defined","2","0"
"_exitbuf","2410:861a","Data Label","Global","User Defined","2","1"
"_exitfopen","2410:861e","Data Label","Global","User Defined","1","1"
"_exitopen","2410:8622","Data Label","Global","User Defined","1","1"
"_streams","2410:8626","Data Label","Global","User Defined","2","9"
"stdout","2410:863a","Data Label","Global","User Defined","2","9"
"stderr","2410:864e","Data Label","Global","User Defined","0","10"
"_nfile","2410:87b6","Data Label","Global","User Defined","6","0"
"_openfd","2410:87b8","Data Label","Global","User Defined","1","2"
"_fmode","2410:87e0","Data Label","Global","User Defined","2","0"
"_doserrno","2410:87e4","Data Label","Global","User Defined","2","0"
"_dosErrorToSV","2410:87e6","Data Label","Global","User Defined","1","0"
"_video","2410:88ac","Data Label","Global","User Defined","4","12"
"_video_windowy1","2410:88ad","Data Label","Global","User Defined","4","12"
"_video_graphicsmode","2410:88b5","Data Label","Global","User Defined","3","12"
"directvideo","2410:88bb","Data Label","Global","User Defined","2","0"
"_argc@","2410:88f8","Data Label","Global","User Defined","2","0"
"_argv@","2410:88fa","Data Label","Global","User Defined","2","1"
"_argv@","2410:88fc","Data Label","Global","User Defined","2","1"
"__setargv_SavedReturn","2410:88fe","Data Label","Global","User Defined","2","0"
"__setargv_SavedES","2ca0:0000","Data Label","Global","User Defined","2","0"
"__setargv_SavedReturn2","2ca0:0002","Data Label","Global","User Defined","2","0"
"__setargv_SavedSI","2ca0:0004","Data Label","Global","User Defined","2","0"
"__setargv_SavedDI","2ca0:0006","Data Label","Global","User Defined","2","0"
"_fputc_cr","2ca0:0008","Data Label","Global","User Defined","1","0"
"_stdinStarted","2ca0:000a","Data Label","Global","User Defined","2","0"
"_stdoutStarted","2ca0:000c","Data Label","Global","User Defined","2","0"
"_realcvt","2ca0:000e","Data Label","Global","User Defined","1","0"
"InitStart","2ca1:0006","Data Label","Global","User Defined","3","0"
"InitEnd","2ca1:001e","Data Label","Global","User Defined","2","0"
"ExitStart","2ca1:001e","Data Label","Global","User Defined","0","0"
"bdata@","2ca3:0004","Data Label","Global","User Defined","3","0"
"ExitEnd","2ca3:0004","Data Label","Global","User Defined","0","0"
"_atexittbl","2ca3:0ae8","Data Label","Global","User Defined","1","0"
"_fputc_c","2ca3:0b68","Data Label","Global","User Defined","9","0"
"edata@","2ca3:0b6a","Data Label","Global","User Defined","1","0"
"_stack_end","2d5a:007e","Data Label","Global","User Defined","2","0"
